N. Sol:,12

Solución 1
-,3,4,2
1,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 2
-,3,2,4
1,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 3
-,3,1,2
4,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 4
-,3,1,4
2,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 5
3,1,2,4
-,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 6
-,1,2,4
3,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 7
3,1,4,2
-,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 8
-,1,4,2
3,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 9
-,1,3,2
4,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 10
-,1,3,4
2,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 11
1,3,2,4
-,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-

Solución 12
1,3,4,2
-,-,-,-
-,-,-,-
-,-,-,-
-,-,-,-
